ts,slot,node_id,rain_intensity_mmph,flow_m3s,temp_C,pH,DO_mgL,EC_uScm,COD_mgL,NH3N_mgL,TN_mgL,TP_mgL,TSS_mgL,turbidity_NTU
2026-01-01 00:00:00,0,10,0.0,0.023213,15.46146,7.418609,6.782618,203.14798,20.949081,1.779015,4.685158,0.525842,83.118823,15.269093
2026-01-01 00:00:05,1,10,0.0,0.023213,15.46146,7.418609,6.782618,203.14798,20.949081,1.779015,4.685158,0.525842,83.118823,15.269093
2026-01-01 00:00:10,2,10,0.0,0.023213,15.46146,7.418609,6.782618,203.14798,20.949081,1.779015,4.685158,0.525842,83.118823,15.269093
2026-01-01 00:00:15,3,10,0.0,0.023213,15.46146,7.418609,6.782618,203.14798,20.949081,1.779015,4.685158,0.525842,83.118823,15.269093
2026-01-01 00:00:20,4,10,0.0,0.023213,15.46146,7.418609,6.782618,203.14798,20.949081,1.779015,4.685158,0.525842,83.118823,15.269093
2026-01-01 00:00:25,5,10,0.0,0.021992,14.997207,7.234972,6.496976,264.494361,32.601826,1.827887,4.983824,0.477981,69.579733,20.48449
2026-01-01 00:00:30,6,10,0.0,0.022148,15.317984,7.409231,7.296031,260.594309,38.373689,1.093579,3.329003,0.344274,81.773853,19.813385
2026-01-01 00:00:35,7,10,0.0,0.022167,15.638996,7.34306,5.845939,278.779574,45.62089,1.456891,4.939644,0.388152,81.619025,20.001055
2026-01-01 00:00:40,8,10,0.0,0.02127,14.546353,7.600852,7.090391,272.68965,27.029718,0.5841,3.380231,0.493038,70.212313,20.676886
2026-01-01 00:00:45,9,10,0.0,0.024384,14.501163,7.350283,7.727694,235.443304,25.757826,1.16705,4.756518,0.245691,58.109069,13.571968
2026-01-01 00:00:50,10,10,0.0,0.022175,15.264846,7.433581,6.603034,207.119911,20.676876,0.622988,3.99033,0.219673,56.266366,13.027996
2026-01-01 00:00:55,11,10,0.0,0.021692,15.042123,7.399924,6.652585,254.412342,36.223994,1.090592,4.84906,0.39231,53.432085,13.1454
2026-01-01 00:01:00,12,10,0.0,0.023644,15.142618,7.237593,4.708901,239.624859,32.078412,1.282771,7.133754,0.536391,36.838269,16.604056
2026-01-01 00:01:05,13,10,0.0,0.023266,15.056353,7.491302,5.965791,272.188265,52.421682,1.648872,4.969609,0.485809,43.037477,22.615851
2026-01-01 00:01:10,14,10,0.0,0.023355,15.651164,7.502468,5.523167,245.673938,21.785012,1.55614,4.00384,0.324819,68.921984,11.855258
2026-01-01 00:01:15,15,10,0.0,0.023073,15.506492,7.357215,6.832946,216.511303,33.494931,2.304609,5.026898,0.42164,33.878153,20.505108
2026-01-01 00:01:20,16,10,0.0,0.022031,15.399958,7.460293,7.320966,310.34734,41.347933,1.393528,4.996232,0.494922,40.526076,13.071382
2026-01-01 00:01:25,17,10,0.0,0.021537,15.264144,7.393034,5.947298,218.123914,28.511948,1.025585,5.56421,0.188682,58.533603,20.213813
2026-01-01 00:01:30,18,10,0.0,0.024947,15.265431,7.253386,5.419864,241.475709,50.922719,0.986462,3.809227,0.165621,58.427079,15.869505
2026-01-01 00:01:35,19,10,0.0,0.024169,14.826004,7.181882,7.026709,274.553189,50.273976,1.897119,4.3606,0.486483,53.292923,26.812149
